emotion,category,content
기쁨,comment,기쁨 
기쁨,comment,완전 럭키비키잖아!
기쁨,comment,오늘 기분 최고!
기쁨,comment,폼 미쳤다!
기쁨,comment,텐션 무엇
기쁨,comment,NICE! 오늘 계 탔다!
기쁨,comment,행복해
기쁨,comment,오늘 도파민 싹 도네
기쁨,comment,군침이 싹 돈다
기쁨,comment,갓벽하다
기쁨,comment,오히려 좋아!
기쁨,comment,오늘 내가 주인공
기쁨,comment,찢었다
기쁨,comment,레전드
기쁨,comment,기분 째진다
기쁨,comment,떡상 가즈아
기쁨,comment,맛도리
기쁨,comment,중꺾마
기쁨,comment,가슴이 웅장해진다
기쁨,comment,소리 질러
기쁨,comment,구름 위를 걷는 기분
기쁨,comment,날아갈 것 같아요
기쁨,comment,설레여
기쁨,comment,지구 뿌셔! 우주 뿌셔!
기쁨,comment,오늘따라 세상이 아름다워 보임
기쁨,comment,입꼬리가 귀에 걸렸어요
기쁨,comment,광대 승천 중
기쁨,comment,잇몸 만개 미소 발사
기쁨,comment,콧노래가 절로 나옴
기쁨,comment,발걸음이 깃털처럼 가볍다
기쁨,comment,아드레날린 폭발
기쁨,comment,오늘 밤 주인공은 나야 나
기쁨,comment,흥이 난다 흥이 나! 얼쑤!
기쁨,comment,무야호~
기쁨,comment,오늘 내 세상이다
기쁨,comment,"아, 살맛 난다"
기쁨,comment,꿀잼
기쁨,comment,오늘만 같아라
기쁨,comment,체증이 싹 내려가는 기분
기쁨,comment,긍정 파워
기쁨,comment,드디어 해냈다!
기쁨,comment,충전 완료
기쁨,comment,힐링 그 자체
기쁨,comment,대박
기쁨,comment,꿈이야 생시야
기쁨,comment,미쳤다!
기쁨,comment,앗싸!
기쁨,comment,야호!
기쁨,comment,굿굿!
기쁨,comment,나이스!
기쁨,comment,예스!
기쁨,comment,최고!
기쁨,comment,만세!
기쁨,comment,요시!
기쁨,comment,좋아
기쁨,comment,개이득
기쁨,comment,짜릿해
기쁨,comment,늘 새로워
기쁨,comment,야르
기쁨,comment,성덕
기쁨,comment,따봉
기쁨,comment,입안에서 파티 열림
기쁨,comment,짱이야
기쁨,comment,탄수화물은 사랑입니다
기쁨,comment,혈중 마라 농도 충전 완료
기쁨,comment,미미(美味)
기쁨,comment,이게 천국이지
기쁨,comment,인생 꿀 빤다
기쁨,comment,JMT
기쁨,comment,칭찬
기쁨,comment,퇴근/하교 1초 전
기쁨,comment,"집이 최고야, 짜릿해"
기쁨,comment,돈 쓰는 게 제일 재밌어
기쁨,comment,택배 왔다
기쁨,comment,찢었다
기쁨,comment,지렸다
기쁨,comment,오졌다
기쁨,comment,개꿀
기쁨,comment,쌉가능
기쁨,comment,쌉인정
기쁨,comment,레게노
기쁨,comment,우왕ㅋ굳ㅋ
기쁨,comment,킹왕짱
기쁨,comment,ㅋㅋㅋ
기쁨,comment,ㅎㅎㅎ
기쁨,comment,ㅋㅎㅋㅎ
기쁨,comment,룰루랄라
기쁨,comment,기분 좋아
기쁨,comment,키득키득
기쁨,comment,꺄르르
기쁨,comment,푸하하하
기쁨,comment,낄낄
기쁨,comment,쿄쿄
기쁨,comment,크킄
기쁨,comment,크크
기쁨,comment,달콤해
기쁨,comment,내 심장 책임져
기쁨,comment,귀여운 게 세상을 지배한다
기쁨,comment,밥 안 먹어도 배부름
기쁨,comment,내 통장 다 가져가
기쁨,comment,공돈 생겼다
기쁨,comment,야호
기쁨,comment,그린라이트
기쁨,comment,심쿵해
기쁨,comment,예뻐 보이네
기쁨,comment,콩닥콩닥 두근두근
기쁨,comment,첫눈에 반함
기쁨,comment,심장이 나대네
기쁨,comment,솔로 탈출
기쁨,comment,오늘 수업 휴강입니다
기쁨,comment,호캉스가 답이다
기쁨,comment,공기부터 다르네
기쁨,comment,인생샷 건짐
기쁨,comment,장학금 입금 완료
기쁨,comment,노는 게 제일 좋아
기쁨,comment,자유다! 도비는 자유예요
기쁨,comment,꿀자리
기쁨,comment,아브라카다브라
기쁨,comment,축제 라인업 대박
기쁨,comment,카르페 디엠
기쁨,comment,웃으면 복이 와요
기쁨,comment,긍정의 힘을 믿어요
기쁨,comment,피할 수 없으면 즐겨라
기쁨,comment,인생은 아름다워
기쁨,comment,행운의 여신이 윙크함
기쁨,comment,반짝반짝 빛나는 나의 미래
기쁨,comment,내가 좀 쩔긴 하지
기쁨,comment,근거 없는 자신감 충전 완료
기쁨,comment,주인공 등장
기쁨,comment,잘생긴/예쁜 게 최고야 짜릿해
기쁨,comment,역시 난 천재야
기쁨,comment,날씨 미쳤다
기쁨,comment,노을이 예술이다
기쁨,comment,눈사람 만들러 갈 사람
기쁨,comment,첫눈 온다
기쁨,comment,산책하기 딱 좋은 온도
기쁨,comment,앙 기모띠
기쁨,comment,종강
기쁨,comment,헤헤헤
기쁨,comment,여기가 지상낙원
기쁨,comment,히히
기쁨,comment,방긋
기쁨,comment,우와아아
기쁨,comment,꺄악
기쁨,comment,짝짝짝
기쁨,comment,심멎
기쁨,comment,나이스샷
