emotion,category,content
슬픔,comment,슬픔
슬픔,comment,ㅠㅠ
슬픔,comment,ㅜㅜ
슬픔,comment,우울
슬픔,comment,불행
슬픔,comment,실패
슬픔,comment,눈물
슬픔,comment,위로
슬픔,comment,다운
슬픔,comment,울컥
슬픔,comment,지쳐
슬픔,comment,공허
슬픔,comment,허무
슬픔,comment,무기력
슬픔,comment,현타
슬픔,comment,멘탈 나감
슬픔,comment,저기압
슬픔,comment,살기 힘들다
슬픔,comment,힘들다
슬픔,comment,기운 없어
슬픔,comment,그리움
슬픔,comment,버거워
슬픔,comment,헤어졌어
슬픔,comment,고통스러워
슬픔,comment,외로워
슬픔,comment,최악이야
슬픔,comment,T.T
슬픔,comment,울었다
슬픔,comment,내 눈에서 땀이 나네...
슬픔,comment,휴지 플렉스(Flex) 할 시간
슬픔,comment,눈물 콧물 기절
슬픔,comment,억까 멈춰! 세상이 나를 억까해
슬픔,comment,흑역사 생성 중...
슬픔,comment,음악만이 나라에서 허락한 유일한 마약...★
슬픔,comment,ㄴr는... ㄱr끔... 눈물을 흘린ㄷr...
슬픔,comment,F감성 폭발
슬픔,comment,크흡... (입틀막)
슬픔,comment,안구에 습기 참
슬픔,comment,멘탈 바사삭
슬픔,comment,유리멘탈 깨짐 주의
슬픔,comment,오늘따라 베개가 축축
슬픔,comment,숨 쉬는데 마음이 아파
슬픔,comment,롬곡옾눞 (폭풍눈물)
슬픔,comment,하늘도 울고 나도 울었다
슬픔,comment,내가 웃는 게 웃는 게 아니야
슬픔,comment,겉바속촉 (겉은 바삭 멘탈은 촉촉)
슬픔,comment,1리터의 눈물 찍는 중
슬픔,comment,비도 오고 그래서
슬픔,comment,마음의 비가 주륵주륵
슬픔,comment,텅 빈 방안에 나 홀로
슬픔,comment,가슴 한구석이 시리다
슬픔,comment,오늘은 좀 울게요
슬픔,comment,마음이 텅 빈 것 같아
슬픔,comment,잠은 안 오고 너만 계속 오네
슬픔,comment,그림자마저 쓸쓸해 보여
슬픔,comment,세상에 나 혼자 남겨진 기분
슬픔,comment,아무 말도 하고 싶지 않아
슬픔,comment,한숨이 땅을 꺼지게 해
슬픔,comment,오늘은 bgm이 슬픔이야
슬픔,comment,기억 조작 당하고 싶다
슬픔,comment,추억은 가슴에 묻고
슬픔,comment,이별 노래가 다 내 얘기 같아
슬픔,comment,오늘따라 달이 처량하네
슬픔,comment,"바람이 차갑다, 마음처럼"
슬픔,comment,"울어도 돼, 사실 산타는 없거든"
슬픔,comment,실컷 울고 털어버려
슬픔,comment,비 온 뒤에 땅이 굳는다잖아
슬픔,comment,이 또한 지나가리라
슬픔,comment,오늘은 푹 자는 게 답이다
슬픔,comment,힘든 날이 있으면 좋은 날도 오겠지
슬픔,comment,당신은 소중한 사람이에요
슬픔,comment,흑흑
슬픔,comment,ㅠㅠ
슬픔,comment,ㅜㅜ
슬픔,comment,엉엉
슬픔,comment,으앙
슬픔,comment,훌쩍
슬픔,comment,주륵
슬픔,comment,또르르...
슬픔,comment,에휴
슬픔,comment,하아... (깊은 한숨)
슬픔,comment,힝...
슬픔,comment,끄흡
슬픔,comment,... (말잇못)
슬픔,comment,맙소사
슬픔,comment,오 마이 갓
슬픔,comment,읔 (심장 아픔)
슬픔,comment,흐규흐규
슬픔,comment,찡...
슬픔,comment,ㅠ_ㅠ
슬픔,comment,OT L (좌절)
슬픔,comment,;ㅁ;
슬픔,comment,밥맛이 없다
슬픔,comment,입맛 가출
슬픔,comment,세상이 밉다
슬픔,comment,왜 나한테만 이런 일이
슬픔,comment,가슴이 찢어지는 것 같다
슬픔,comment,심장이 쿵 내려앉음
슬픔,comment,다 포기하고 싶다
슬픔,comment,도망가고 싶다
슬픔,comment,아무것도 안 들려
슬픔,comment,귀 막고 눈 감고
슬픔,comment,어둠 속으로
슬픔,comment,동굴 들어가는 중
슬픔,comment,상처 받았어
슬픔,comment,마상 (마음의 상처)
슬픔,comment,쿠크다스 심장
슬픔,comment,유리 조각처럼 깨짐
슬픔,comment,엄마 보고 싶다
슬픔,comment,집밥 먹고 싶다
슬픔,comment,고향 생각
슬픔,comment,향수병
슬픔,comment,서러워
슬픔,comment,억울해
슬픔,comment,답답해
슬픔,comment,고구마 백만 개
슬픔,comment,목이 메인다
슬픔,comment,말이 안 나와
슬픔,comment,후회막급
슬픔,comment,자괴감 들어
슬픔,comment,나란 놈은...
슬픔,comment,눈물 바다
슬픔,comment,털썩
슬픔,comment,주저앉음
슬픔,comment,일어날 힘도 없어
슬픔,comment,누가 손 좀 잡아줘
슬픔,comment,SOS
슬픔,comment,살려줘
슬픔,comment,Help me
슬픔,comment,위로가 필요해
슬픔,comment,따뜻한 말 한마디면 돼
슬픔,comment,안아줘
